 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Barangay 5 Pob. (Zone 5) ,200
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Barangay 6 Pob. (Zone 6) ,1772
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Burgos ,1068
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Cabahug ,2572
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Cadiz Viejo ,1172
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Caduha-An ,3888
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Celestino Villacin ,1796
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Daga ,3320
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Jerusalem ,1400
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Luna ,3388
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Mabini ,3364
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Magsaysay ,2424
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Sicaba ,1340
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Tiglawigan ,2424
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , Tinampa-An ,2716
 NIR [Negros Island Region] , Negros Occidental , Cadiz City , V. F. Gustilo ,1288
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Agpangi ,880
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Ani-E ,408
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Bagacay ,448
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Bantayanon ,1304
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Buenavista ,712
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Cabungahan ,216
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Calampisawan ,708
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Cambayobo ,672
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Castellano ,524
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Cruz ,520
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Dolis ,972
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Hilub-Ang ,1116
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Hinab-Ongan ,704
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Ilaya ,676
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Laga-An ,812
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Lalong ,1000
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Lemery ,344
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Lipat-On ,420
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Lo-Ok (Pob.) ,140
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Ma-Aslob ,868
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Macasilao ,1016
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Mahilum ,260
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Malanog ,492
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Malatas ,444
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Marcelo ,1884
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Menchaca ,760
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Minapasuk ,2780
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Mina-Utok ,1144
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Paghumayan ,536
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Pantao ,516
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Patun-An ,588
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Pinocutan ,380
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Refugio ,476
 NIR [Negros Island Region] , Negros Occidental , Calatrava , San Benito ,568
 NIR [Negros Island Region] , Negros Occidental , Calatrava , San Isidro ,1052
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Suba (Pob.) ,880
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Telim ,608
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Tigbao ,596
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Tigbon ,628
 NIR [Negros Island Region] , Negros Occidental , Calatrava , Winaswasan ,684
 NIR [Negros Island Region] , Negros Occidental , Candoni , Agboy ,968
 NIR [Negros Island Region] , Negros Occidental , Candoni , Banga ,664
 NIR [Negros Island Region] , Negros Occidental , Candoni , Cabia-An ,600
 NIR [Negros Island Region] , Negros Occidental , Candoni , Caningay ,1336
 NIR [Negros Island Region] , Negros Occidental , Candoni , Gatuslao ,1136
 NIR [Negros Island Region] , Negros Occidental , Candoni , Haba ,1104
 NIR [Negros Island Region] , Negros Occidental , Candoni , Payauan ,1328
 NIR [Negros Island Region] , Negros Occidental , Candoni , Poblacion East ,1164
 NIR [Negros Island Region] , Negros Occidental , Candoni , Poblacion West ,1124
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Abaca ,692
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Baclao ,608
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Basak ,1756
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Bulata ,1820
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Caliling ,1952
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Camalanda-An ,2324
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Camindangan ,1124
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Elihan ,592
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Guiljungan ,4500
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Inayawan ,4008
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Isio ,1976
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Linaon ,1500
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Lumbia ,940
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Mambugsay ,2096
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Man-Uling ,1164
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Masaling ,1672
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Molobolo ,684
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Poblacion ,2828
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Sura ,268
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Talacdan ,2104
 NIR [Negros Island Region] , Negros Occidental , Cauayan , Tambad ,500
